Nome Comune,URL,Percorso Screenshot,Conforme,Media Matches,Percorso Matches
Agliè,http://comune.aglie.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Aglie.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Aglie.jpg
Airasca,http://comune.airasca.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Airasca.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Airasca.jpg
Ala di Stura,http://comunealadistura.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Ala_di_Stura.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Ala_di_Stura.jpg
Albiano d'Ivrea,http://comune.albianodivrea.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Albiano_d'Ivrea.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Albiano_d'Ivrea.jpg
Almese,http://comune.almese.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Almese.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Almese.jpg
Alpette,http://comune.alpette.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Alpette.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Alpette.jpg
Alpignano,http://comune.alpignano.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Alpignano.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Alpignano.jpg
Andezeno,http://comune.andezeno.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Andezeno.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Andezeno.jpg
Andrate,http://comune.andrate.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Andrate.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Andrate.jpg
Angrogna,http://comune.angrogna.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Angrogna.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Angrogna.jpg
Arignano,http://comune.arignano.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Arignano.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Arignano.jpg
Arignano,http://comune.arignano.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Arignano.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Arignano.jpg
Avigliana,http://comune.avigliana.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Avigliana.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Avigliana.jpg
Azeglio,http://comune.azeglio.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Azeglio.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Azeglio.jpg
Bairo,http://comune.bairo.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Bairo.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Bairo.jpg
Balangero,http://comune.balangero.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Balangero.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Balangero.jpg
Baldissero Canavese,http://comune.baldisserocanavese.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Baldissero_Canavese.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Baldissero_Canavese.jpg
Baldissero Torinese,http://comune.baldisserotorinese.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Baldissero_Torinese.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Baldissero_Torinese.jpg
Balme,http://comune.balme.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Balme.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Balme.jpg
Banchette,http://comune.banchette.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Banchette.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Banchette.jpg
Barbania,http://comune.barbania.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Barbania.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Barbania.jpg
Bardonecchia,http://comune.bardonecchia.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Bardonecchia.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Bardonecchia.jpg
Barone Canavese,http://comune.barone.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Barone_Canavese.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Barone_Canavese.jpg
Beinasco,http://comune.beinasco.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Beinasco.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Beinasco.jpg
Bibiana,http://comune.bibiana.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Bibiana.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Bibiana.jpg
Bobbio Pellice,http://comune.bobbiopellice.to.it,,Errore,0,
Bollengo,http://comune.bollengo.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Bollengo.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Bollengo.jpg
Borgaro Torinese,http://comune.borgaro-torinese.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Borgaro_Torinese.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Borgaro_Torinese.jpg
Borgiallo,http://comune.borgiallo.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Borgiallo.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Borgiallo.jpg
Borgofranco d'Ivrea,http://comune.borgofranco.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Borgofranco_d'Ivrea.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Borgofranco_d'Ivrea.jpg
Borgomasino,http://comune.borgomasino.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Borgomasino.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Borgomasino.jpg
Borgone Susa,http://comune.borgonesusa.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Borgone_Susa.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Borgone_Susa.jpg
Bosconero,http://bosconerocanavese.it,,Errore,0,
Brandizzo,http://comune.brandizzo.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Brandizzo.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Brandizzo.jpg
Bricherasio,http://comune.bricherasio.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Bricherasio.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Bricherasio.jpg
Brosso,http://comune.brosso.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Brosso.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Brosso.jpg
Brozolo,http://comune.brozolo.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Brozolo.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Brozolo.jpg
Bruino,http://comune.bruino.to.it,C:\Users\giuli\Desktop\Scraping comuni\Screenshots\Bruino.jpg,No,0,C:\Users\giuli\Desktop\Scraping comuni\Matches\Bruino.jpg
