istat,comune_x,regione,provincia,prefisso,cod_fisco,num_residenti,superficie,cf,sito_web,wikipedia,comune_y,lng,lat
1001,Agliè,Piemonte,TO,124,A074,2545,13.2851,83501790014.0,http://comune.aglie.to.it,https://it.wikipedia.org/wiki/Agliè,Agliè,7.7686,45.36343304
1002,Airasca,Piemonte,TO,11,A109,3633,15.7819,85002910017.0,http://comune.airasca.to.it,https://it.wikipedia.org/wiki/Airasca,Airasca,7.48443104,44.91688598
1003,Ala di Stura,Piemonte,TO,123,A117,459,45.7648,83002970016.0,http://comunealadistura.it,https://it.wikipedia.org/wiki/Ala_di_Stura,Ala di Stura,7.30434392,45.31511014
1004,Albiano d'Ivrea,Piemonte,TO,125,A157,1638,11.3764,1735420018.0,http://comune.albianodivrea.to.it,https://it.wikipedia.org/wiki/Albiano_d'Ivrea,Albiano d'Ivrea,7.94914491,45.43389336
1006,Almese,Piemonte,TO,11,A218,6355,17.7961,1817670019.0,http://comune.almese.to.it,https://it.wikipedia.org/wiki/Almese,Almese,7.39518194,45.11766321
1007,Alpette,Piemonte,TO,124,A221,235,5.466,1673090013.0,http://comune.alpette.to.it,https://it.wikipedia.org/wiki/Alpette,Alpette,7.57859732,45.40998223
1008,Alpignano,Piemonte,TO,11,A222,16484,11.9989,86003150017.0,http://comune.alpignano.to.it,https://it.wikipedia.org/wiki/Alpignano,Alpignano,7.52426733,45.09446973
1009,Andezeno,Piemonte,TO,11,A275,2013,7.4703,90003860013.0,http://comune.andezeno.to.it,https://it.wikipedia.org/wiki/Andezeno,Andezeno,7.86994864,45.03586095
1010,Andrate,Piemonte,TO,125,A282,488,9.2213,84003370016.0,http://comune.andrate.to.it,https://it.wikipedia.org/wiki/Andrate,Andrate,7.87383937,45.52837479
1011,Angrogna,Piemonte,TO,121,A295,838,38.0883,1451180010.0,http://comune.angrogna.to.it,https://it.wikipedia.org/wiki/Angrogna,Angrogna,7.22429215,44.84344991
1012,Arignano,Piemonte,TO,11,A405,1080,7.9883,82000590016.0,http://comune.arignano.to.it,https://it.wikipedia.org/wiki/Arignano,Arignano,7.90244635,45.04402899
1013,Avigliana,Piemonte,TO,11,A518,12351,23.5584,1655950010.0,http://comune.avigliana.to.it,https://it.wikipedia.org/wiki/Avigliana,Avigliana,7.39632339,45.07935742
1014,Azeglio,Piemonte,TO,125,A525,1235,10.0616,84000970016.0,http://comune.azeglio.to.it,https://it.wikipedia.org/wiki/Azeglio,Azeglio,7.9947707,45.4248619
1015,Bairo,Piemonte,TO,124,A584,787,6.9641,83501730010.0,http://comune.bairo.to.it,https://it.wikipedia.org/wiki/Bairo,Bairo,7.75691809,45.38624929
1016,Balangero,Piemonte,TO,123,A587,3064,13.0001,1834020016.0,http://comune.balangero.to.it,https://it.wikipedia.org/wiki/Balangero,Balangero,7.51930957,45.27003001
1017,Baldissero Canavese,Piemonte,TO,124,A590,533,4.5321,83501370015.0,http://comune.baldisserocanavese.to.it,https://it.wikipedia.org/wiki/Baldissero_Canavese,Baldissero Canavese,7.74444451,45.40840358
1018,Baldissero Torinese,Piemonte,TO,11,A591,3671,15.8355,90002900018.0,http://comune.baldisserotorinese.to.it,https://it.wikipedia.org/wiki/Baldissero_Torinese,Baldissero Torinese,7.81780767,45.06842334
1019,Balme,Piemonte,TO,123,A599,110,62.9278,83002910012.0,http://comune.balme.to.it,https://it.wikipedia.org/wiki/Balme,Balme,7.21831414,45.30229406
1020,Banchette,Piemonte,TO,125,A607,3112,1.8772,84000990014.0,http://comune.banchette.to.it,https://it.wikipedia.org/wiki/Banchette,Banchette,7.85656384,45.4608501
1021,Barbania,Piemonte,TO,11,A625,1585,13.3485,83000050019.0,http://comune.barbania.to.it,https://it.wikipedia.org/wiki/Barbania,Barbania,7.63051093,45.2905002
1022,Bardonecchia,Piemonte,TO,122,A651,3078,131.5658,86501270010.0,http://comune.bardonecchia.to.it,https://it.wikipedia.org/wiki/Bardonecchia,Bardonecchia,6.70382393,45.07816901
